year;month;Consumer price index overall;Food and non-alcoholic beverages;Alcoholic beverages and tobacco;Clothing and footwear;Housing, water, electricity, gas and other fuels;Furniture, lighting equipment, appliances and other household equipment;Health;Transport;Communication;Recreation, entertainment and culture;Education;Restaurant and accomodation services;Miscellaneous goods and services
2023;Sep;117.8;130.3;119.0;108.1;115.0;118.4;105.3;125.9;100.0;116.1;110.2;121.0;114.5
2023;Aug;117.5;129.7;118.9;103.6;115.0;118.3;105.2;125.3;100.0;117.2;107.4;120.7;114.2
2023;Jul;117.1;130.1;118.2;101.9;114.6;118.1;105.1;124.3;100.0;116.8;108.5;120.6;113.7
2023;Jun;116.8;130.4;117.4;107.0;114.5;117.7;104.8;122.9;99.9;114.9;108.4;119.9;113.1
2023;May;116.5;130.5;116.8;108.2;114.5;117.3;104.8;122.5;100.0;113.6;108.4;119.2;112.3
2023;Apr;116.6;130.8;116.1;108.0;114.5;117.5;104.6;124.6;99.2;112.8;108.3;118.3;111.8
2023;Mar;116.1;131.5;115.2;106.3;114.3;116.9;104.2;122.6;99.1;112.4;108.2;117.6;111.3
2023;Feb;115.2;129.9;113.7;101.7;114.1;116.4;104.2;121.8;99.3;110.8;108.0;116.9;111.0
2023;Jan;114.3;127.0;113.0;100.6;114.0;115.6;103.9;121.3;99.4;109.3;107.7;116.1;110.3
2022;Dec;113.2;125.1;111.0;105.6;110.4;114.8;102.8;121.2;99.4;111.6;106.7;114.7;108.8
2022;Nov;113.7;124.0;109.9;106.8;113.1;114.2;102.6;123.0;99.1;109.5;106.6;114.2;108.5
2022;Oct;113.5;122.6;109.7;106.2;112.7;113.7;102.5;124.3;99.3;109.8;106.4;113.6;108.0
2022;Sep;112.7;121.0;109.4;104.7;111.1;112.5;102.2;124.4;98.8;109.9;105.6;113.5;107.2
2022;Aug;110.7;118.9;109.0;100.1;109.9;111.7;102.0;116.6;98.9;110.5;103.6;112.7;106.5
2022;Jul;110.3;117.3;108.4;99.1;109.1;111.5;101.9;118.0;99.5;110.2;104.4;112.1;106.0
2022;Jun;109.8;115.0;107.9;101.6;109.0;110.5;101.7;118.5;99.6;108.4;104.3;110.6;105.6
2022;May;109.8;114.0;107.0;103.3;108.4;109.6;101.5;122.8;99.5;106.4;104.3;109.1;105.4
2022;Apr;108.8;112.0;106.5;102.7;107.6;108.3;101.2;121.4;99.4;105.8;104.2;107.7;104.9
2022;Mar;108.1;108.5;105.7;101.8;107.3;107.3;101.4;122.2;99.7;104.8;104.3;106.4;104.3
2022;Feb;106.0;107.6;105.2;97.5;105.4;106.6;101.1;114.5;99.7;104.3;104.1;105.8;104.0
2022;Jan;105.2;106.5;104.5;97.9;104.7;105.7;101.0;112.8;100.0;103.2;104.0;105.2;103.8
2021;Dec;104.7;104.8;103.8;101.8;102.9;104.6;100.7;111.9;99.8;104.8;103.2;104.5;104.9
2021;Nov;104.5;103.8;103.6;103.7;102.7;104.2;100.7;112.1;99.7;103.5;103.2;104.3;104.8
2021;Oct;104.3;103.1;104.9;103.2;102.4;103.6;100.6;111.2;99.5;104.5;103.2;104.2;104.6
2021;Sep;103.8;103.1;104.5;102.9;101.9;103.3;100.7;109.2;99.6;104.5;103.1;104.0;104.5
2021;Aug;103.5;103.1;104.4;99.3;101.7;102.6;100.5;109.1;99.5;104.9;101.7;104.1;104.3
2021;Jul;103.4;103.1;104.4;99.9;101.6;102.4;100.5;108.6;99.9;104.5;102.7;103.8;104.1
2021;Jun;102.9;102.7;104.3;102.1;101.4;102.1;100.6;107.0;99.0;103.0;102.5;103.2;103.9
2021;May;102.6;103.2;104.2;101.8;101.3;102.0;100.4;106.2;98.8;102.3;102.4;101.6;103.6
2021;Apr;102.4;103.8;104.2;101.3;101.2;102.0;100.5;105.6;99.0;101.0;102.3;100.9;103.3
2021;Mar;102.1;102.5;101.7;101.6;101.1;102.0;100.6;105.1;99.0;101.3;102.2;100.6;103.0
2021;Feb;101.6;102.4;101.5;100.5;101.0;102.1;100.4;103.4;99.4;100.7;102.0;100.6;102.6
2021;Jan;101.0;101.5;101.0;99.6;100.8;101.8;100.2;102.4;99.4;99.4;101.6;100.5;102.1
2020;Dec;99.8;98.9;100.1;98.6;100.1;99.8;99.4;99.3;97.6;100.9;100.5;100.3;100.9
2020;Nov;99.7;99.3;100.5;102.1;99.9;99.3;99.4;98.3;97.8;99.8;100.5;100.1;100.7
2020;Oct;99.9;98.8;100.2;102.3;99.9;99.4;99.3;99.0;98.2;101.1;100.4;100.4;100.7
2020;Sep;99.7;98.5;100.1;100.9;99.8;99.3;100.0;98.9;98.5;100.9;100.4;100.4;100.4
2020;Aug;99.7;98.7;100.0;96.2;99.9;99.1;100.3;99.5;98.6;101.1;99.0;100.5;100.4
