year;month;Consumer price index overall;Food and non-alcoholic beverages;Alcoholic beverages and tobacco;Clothing and footwear;Housing, water, electricity, gas and other fuels;Furniture, lighting equipment, appliances and other household equipment;Health;Transport;Communication;Recreation, entertainment and culture;Education;Restaurant and accomodation services;Miscellaneous goods and services
2023;Sep;4.5;7.7;8.8;3.2;3.5;5.2;3.0;1.2;1.2;5.6;4.4;6.6;6.8
2023;Aug;6.1;9.1;9.1;3.5;4.6;5.9;3.1;7.5;1.1;6.1;3.7;7.1;7.2
2023;Jul;6.2;10.9;9.0;2.8;5.0;5.9;3.1;5.3;0.5;6.0;3.9;7.6;7.3
2023;Jun;6.4;13.4;8.8;5.3;5.0;6.5;3.0;3.7;0.3;6.0;3.9;8.4;7.1
2023;May;6.1;14.5;9.2;4.7;5.6;7.0;3.3;-0.2;0.5;6.8;3.9;9.3;6.5
2023;Apr;7.2;16.8;9.0;5.2;6.4;8.5;3.4;2.6;-0.2;6.6;3.9;9.8;6.6
2023;Mar;7.4;21.2;9.0;4.4;6.5;8.9;2.8;0.3;-0.6;7.3;3.7;10.5;6.7
2023;Feb;8.7;20.7;8.1;4.3;8.3;9.2;3.1;6.4;-0.4;6.2;3.7;10.5;6.7
2023;Jan;8.7;19.2;8.1;2.8;8.9;9.4;2.9;7.5;-0.6;5.9;3.6;10.4;6.3
2022;Dec;8.1;19.4;6.9;3.7;7.3;9.8;2.1;8.3;-0.4;6.5;3.4;9.8;3.7
2022;Nov;8.8;19.5;6.1;3.0;10.1;9.6;1.9;9.7;-0.6;5.8;3.3;9.5;3.5
2022;Oct;8.8;18.9;4.6;2.9;10.1;9.7;1.9;11.8;-0.2;5.1;3.1;9.0;3.3
2022;Sep;8.6;17.4;4.7;1.7;9.0;8.9;1.5;13.9;-0.8;5.2;2.4;9.1;2.6
2022;Aug;7.0;15.3;4.4;0.8;8.1;8.9;1.5;6.9;-0.6;5.3;1.9;8.3;2.1
