year;quarter;flat_metropolises;"flat_cities_not_attached 
to a district";flat_urban_districts;"flat_densely_populated 
rural districts";"flat_sparsely_populated 
rural districts";single_or_two_family_houses_metropolises;"single_or_two_family_houses_cities_not_attached 
to a district";single_or_two_family_houses_urban_districts;"single_or_two_family_houses_densely_populated 
rural districts";"single_or_two_family_houses_sparsely_populated 
rural districts"
2016 ;Q1;104,0;101,7;102,8;103,3;104,6;104,6;100,5;102,0;101,2;102,3
2016 ;Q2;107,6;103,9;104,3;106,5;109,2;109,3;102,4;104,0;105,5;106,2
2016 ;Q3;112,1;106,4;106,2;105,7;108,6;110,2;105,2;105,7;105,3;107,7
2016 ;Q4;114,7;108,5;107,4;109,4;108,9;112,8;106,5;106,6;108,4;107,8
2017 ;Q1;117,3;108,2;108,8;113,5;107,4;114,7;103,6;107,0;108,8;110,1
2017 ;Q2;121,2;112,0;110,0;114,2;111,4;117,4;107,4;108,8;108,3;113,0
2017 ;Q3;124,4;115,0;111,5;114,0;112,3;121,1;109,2;111,8;110,9;112,5
2017 ;Q4;127,7;114,6;113,2;119,5;117,7;125,5;110,5;112,2;115,3;115,8
2018 ;Q1;129,6;117,3;115,2;117,1;115,0;127,6;111,9;112,0;115,0;116,2
2018 ;Q2;134,5;118,2;116,1;120,1;115,8;129,4;112,9;113,7;117,7;120,1
2018 ;Q3;137,3;121,4;118,0;123,7;121,5;133,0;114,2;116,0;120,6;121,0
2018 ;Q4;139,4;125,3;118,3;123,5;123,9;133,1;116,9;118,2;121,9;123,0
2019 ;Q1;139,9;123,8;120,3;123,5;123,1;135,6;118,0;117,2;120,1;123,2
2019 ;Q2;145,1;127,2;122,7;127,5;124,2;142,4;120,0;120,7;122,2;128,1
2019 ;Q3;147,9;128,0;124,6;128,7;124,7;142,7;122,2;123,2;124,2;128,7
2019 ;Q4;150,6;133,5;127,0;130,9;129,1;142,2;124,9;126,4;129,4;131,0
2020 ;Q1;151,0;135,1;127,4;132,2;131,3;147,6;125,1;126,1;130,8;134,2
2020 ;Q2;154,9;138,1;129,1;136,2;134,5;150,5;127,4;128,0;133,0;137,0
2020 ;Q3;159,5;141,6;132,2;138,4;137,5;155,6;130,6;132,4;138,6;140,3
2020 ;Q4;162,4;145,1;135,5;144,1;140,9;160,0;133,3;135,7;141,8;146,1
2021 ;Q1;169,7;148,3;137,0;145,5;147,2;165,6;135,2;136,8;142,0;148,6
2021 ;Q2;177,1;153,9;142,7;149,5;152,9;172,3;142,1;142,9;147,6;153,3
2021 ;Q3;183,8;158,2;145,2;153,6;157,0;179,1;146,8;149,0;156,5;162,5
2021 ;Q4;185,4;162,5;151,6;161,3;161,6;182,4;151,5;152,5;160,6;168,8
2022 ;Q1;192,3;167,0;150,0;162,0;164,2;190,4;152,7;152,3;159,7;166,0
2022 ;Q2;195,5;168,7;153,5;167,7;168,0;192,6;153,1;155,2;162,6;170,3
2022 ;Q3;191,5;170,4;151,6;163,0;169,1;188,8;150,8;150,5;162,7;173,0
2022 ;Q4;182,7;160,9;147,0;161,6;159,7;178,7;142,4;144,3;151,6;159,1
2023 ;Q1;180,2;156,1;143,5;156,7;159,7;172,5;138,0;137,4;148,0;155,4
2023 ;Q2;176,4;154,4;140,6;153,4;156,3;168,3;136,6;135,0;144,2;156,5
